stop_id,stop_code,name,description,latitude,longitude,routes,ridership,match_method,city_nbr_shelters_raw,valley_shelters_raw,valley_shelter_raw,valley_shade_raw,historical_photo_url,shelter_status
1038,16584,Bell Rd & 43rd Av,EB Bell Rd & FS 43rd Av,33.639171,-112.150981,170,65,stop_id,,0,0,,,unknown
1039,16472,Bell Rd & 47th Av,EB Bell Rd & FS 47th Av,33.6389980000001,-112.160005,170,2,stop_id,,0,0,,,unknown
104,16625,Bell Rd & 56th St,EB Bell Rd & FS 56th St,33.640296,-111.959522,170,4,stop_id,,0,0,,,unknown
1040,16471,Bell Rd & 49th Av,EB Bell Rd & FS 49th Av,33.638949,-112.164423,170,4,stop_id,,0,0,,,unknown
1041,16470,Bell Rd & 51st Av,EB Bell Rd & FS 51st Av,33.638854,-112.168585,170,51,stop_id,,0,0,,,unknown
105,16626,Bell Rd & 58th St,EB Bell Rd & FS 58th St,33.640293,-111.955386,170,5,stop_id,,0,0,,,unknown
1051,16598,Bell Rd & 7th Av,EB Bell Rd & FS 7th Av,33.640028,-112.082396,170,19,stop_id,,0,0,,,unknown
1052,16473,Bell Rd & Park Pl,EB Bell Rd & FS Park Pl,33.6391090000001,-112.155141,170,3,stop_id,,0,0,,,unknown
1055,13845,Bethany Home Rd & 17th Av,EB Bethany Home Rd & FS 17th Av,33.5238600000001,-112.09511,60,10,stop_id,,0,0,,,unknown
1056,12747,Bethany Home Rd & 11th Av,EB Bethany Home Rd & FS 11th Av,33.5238190000001,-112.086136,60,2,stop_id,,0,0,,,unknown
1057,13846,Bethany Home Rd & 16th Av,EB Bethany Home Rd & FS 16th Av,33.52385,-112.093051,60,29,stop_id,,0,0,,,unknown
1058,13844,Bethany Home Rd & 19th Av,EB Bethany Home Rd & FS 19th Av,33.5239340000001,-112.098957,60,19,stop_id,,0,0,,,unknown
1059,13843,Bethany Home Rd & 21st Av,EB Bethany Home Rd & FS 21st Av,33.5240170000001,-112.103072,60,3,stop_id,,0,0,,,unknown
106,16627,Bell Rd & 60th St,EB Bell Rd & FS 60th St,33.6402640000001,-111.951199,170,0,stop_id,,0,0,,,unknown
1060,13842,Bethany Home Rd & 23rd Av,EB Bethany Home Rd & FS 23rd Av,33.523983,-112.107887,60,23,stop_id,,0,0,,,unknown
1061,13840,Bethany Home Rd & 27th Av,EB Bethany Home Rd & FS 27th Av,33.5239040000001,-112.115905,60,89,stop_id,,0,0,,,unknown
1062,13839,Bethany Home Rd & 29th Av,EB Bethany Home Rd & FS 29th Av,33.523919,-112.120875,60,8,stop_id,,0,0,,,unknown
1063,13838,Bethany Home Rd & 31st Av,EB Bethany Home Rd & FS 31st Av,33.523901,-112.125266,60,21,stop_id,,0,0,,,unknown
1064,13837,Bethany Home Rd & 33rd Av,EB Bethany Home Rd & FS 33rd Av,33.5238810000001,-112.129393,60,27,stop_id,,0,0,,,unknown
1065,12354,Bethany Home Rd & 35th Av,EB Bethany Home Rd & FS 35th Av,33.5238620000001,-112.133681,60,91,stop_id,,0,0,,,unknown
1066,13835,Bethany Home Rd & 37th Av,EB Bethany Home Rd & FS 37th Av,33.5238640000001,-112.13801,60,7,stop_id,,0,0,,,unknown
1067,13834,Bethany Home Rd & 39th Av,EB Bethany Home Rd & FS 39th Av,33.523846,-112.142346,60,21,stop_id,,0,0,,,unknown
1068,13849,Bethany Home Rd & 3rd Av,EB Bethany Home Rd & FS 3rd Av,33.5237270000001,-112.077413,60,0,stop_id,,0,0,,,unknown
1069,13832,Bethany Home Rd & 43rd Av,EB Bethany Home Rd & FS 43rd Av,33.523782,-112.150672,60,110,stop_id,,0,0,,,unknown
107,16628,Bell Rd & 61st Pl,EB Bell Rd & FS 61st Pl,33.640322,-111.947868,170,0,stop_id,,0,0,,,unknown
108,16629,Bell Rd & 64th St,EB Bell Rd & FS 64th St,33.6402600000001,-111.942456,170,0,stop_id,,0,0,,,unknown
1080,13848,Bethany Home Rd & 7th Av,EB Bethany Home Rd & FS 7th Av,33.523758,-112.081716,60,3,stop_id,,0,0,,,unknown
1083,13833,Bethany Home Rd & 41st Av,EB Bethany Home Rd & NS 41st Av,33.523825,-112.147537,60,14,stop_id,,0,0,,,unknown
1085,18194,Bethany Home Rd & 24th Av,EB Bethany Home Rd & NS 24th Av,33.523959,-112.111139,60,6,stop_id,,0,0,,,unknown
1087,13065,Broadway Rd & 15th Av,EB Broadway Rd & FS 15th Av,33.406636,-112.090158,45,13,stop_id,,0,0,,,unknown
1089,10647,Broadway Rd & 7th Av,EB Broadway Rd & FS 7th Av,33.4066050000001,-112.081415,45,48,stop_id,,0,0,,,unknown
109,16630,Bell Rd & 66th St,EB Bell Rd & FS 66th St,33.6402570000001,-111.937968,170,0,stop_id,,0,0,,,unknown
110,16631,Bell Rd & 68th St,EB Bell Rd & FS 68th St,33.639731,-111.933459,170,0,stop_id,,0,0,,,unknown
1102,18464,7th St & Beardsley Rd,NB 7th St & FS Beardsley Rd,33.670172,-112.065359,7,0,stop_id,,0,0,,,unknown
1109,18465,7th St & Irma Ln,NB 7th St & FS Irma Ln,33.6737820000001,-112.065465,7,1,stop_id,,0,0,,,unknown
111,16602,Bell Rd & 7th St,EB Bell Rd & FS 7th St,33.6401210000001,-112.065003,170,84,stop_id,,0,0,,,unknown
1110,18466,7th St & Rose Garden Ln,NB 7th St & FS Rose Garden Ln,33.677152,-112.065418,7,0,stop_id,,0,0,,,unknown
1112,13066,Broadway Rd & 9th Av,EB Broadway Rd & FS 9th Av,33.406617,-112.085198,45,0,stop_id,,0,0,,,unknown
1115,10979,Buckeye Rd & 31st Av,EB Buckeye Rd & FS 31st Av,33.4368270000001,-112.125468,13,15,stop_id,,0,0,,,unknown
1116,10966,Buckeye Rd & 65th Av,EB Buckeye Rd & FS 65th Av,33.4370730000001,-112.197785,13,3,stop_id,,0,0,,,unknown
1117,10987,Buckeye Rd & 15th Av,EB Buckeye Rd & FS 15th Av,33.436656,-112.090771,13,23,stop_id,,0,0,,,unknown
1118,10986,Buckeye Rd & 17th Av,EB Buckeye Rd & FS 17th Av,33.436651,-112.095323,13,15,stop_id,,0,0,,,unknown
1119,10985,Buckeye Rd & 19th Av,EB Buckeye Rd & FS 19th Av,33.4366430000001,-112.099485,13,44,stop_id,,0,0,,,unknown
112,16603,Bell Rd & 9th St,EB Bell Rd & FS 9th St,33.640164,-112.060745,170,53,stop_id,,0,0,,,unknown
1120,10982,Buckeye Rd & 25th Av,EB Buckeye Rd & FS 25th Av,33.436715,-112.112605,13,14,stop_id,,0,0,,,unknown
1121,18467,7th St & Lone Cactus Dr,NB 7th St & FS Lone Cactus Dr,33.6806260000001,-112.065472,7,1,stop_id,,0,0,,,unknown
1122,18167,Buckeye Rd & 27th Av,EB Buckeye Rd & FS 27th Av,33.436678,-112.116659,13,38,stop_id,,0,0,,,unknown
1123,10980,Buckeye Rd & 29th Av,EB Buckeye Rd & FS 29th Av,33.4367750000001,-112.121354,13,2,stop_id,,0,0,,,unknown
1124,18468,Deer Valley Rd & 7th St,WB Deer Valley Rd & FS 7th St,33.684022,-112.066387,7,0,stop_id,,0,0,,,unknown
1125,18469,Deer Valley Rd & Central Av,WB Deer Valley Rd & FS Central Av,33.6838930000001,-112.074676,7,0,stop_id,,0,0,,,unknown
1126,10978,Buckeye Rd & 33rd Av,EB Buckeye Rd & FS 33rd Av,33.4368250000001,-112.129924,13,9,stop_id,,0,0,,,unknown
1127,10977,Buckeye Rd & 35th Av,EB Buckeye Rd & FS 35th Av,33.436784,-112.134136,13,78,stop_id,,0,0,,,unknown
1128,10976,Buckeye Rd & 37th Av,EB Buckeye Rd & FS 37th Av,33.4367930000001,-112.138373,13,2,stop_id,,0,0,,,unknown
1129,10975,Buckeye Rd & 39th Av,EB Buckeye Rd & FS 39th Av,33.4368030000001,-112.142631,13,8,stop_id,,0,0,,,unknown
113,16609,Bell Rd & Cave Creek Rd,EB Bell Rd & FS Cave Creek Rd,33.6403300000001,-112.030328,170,77,stop_id,,0,0,,,unknown
1130,10974,Buckeye Rd & 41st Av,EB Buckeye Rd & FS 41st Av,33.436789,-112.146671,13,2,stop_id,,0,0,,,unknown
1131,10973,Buckeye Rd & 43rd Av,EB Buckeye Rd & FS 43rd Av,33.436792,-112.151305,13,22,stop_id,,0,0,,,unknown
1132,10972,Buckeye Rd & 47th Av,EB Buckeye Rd & FS 47th Av,33.4367270000001,-112.159948,13,3,stop_id,,0,0,,,unknown
1133,10990,Buckeye Rd & 4th Av,EB Buckeye Rd & FS 4th Av,33.436991,-112.078858,13,2,stop_id,,0,0,,,unknown
1134,10971,Buckeye Rd & 51st Av,EB Buckeye Rd & FS 51st Av,33.436635,-112.16877,13,50,stop_id,,0,0,,,unknown
1135,10970,Buckeye Rd & 54th Av,EB Buckeye Rd & FS 54th Av,33.436745,-112.174793,13,2,stop_id,,0,0,,,unknown
1136,10969,Buckeye Rd & 56th Av,EB Buckeye Rd & FS 56th Av,33.4368270000001,-112.180323,13,26,stop_id,,0,0,,,unknown
1137,10968,Buckeye Rd & 59th Av,EB Buckeye Rd & FS 59th Av,33.436832,-112.184583,"59, 13",0,stop_id,,0,0,,,unknown
1138,10967,Buckeye Rd & 63rd Av,EB Buckeye Rd & FS 63rd Av,33.437032,-112.194857,13,5,stop_id,,0,0,,,unknown
1139,10965,Buckeye Rd & 67th Av,EB Buckeye Rd & FS 67th Av,33.4370440000001,-112.202473,13,43,stop_id,,0,0,,,unknown
114,16600,Bell Rd & Central Av,EB Bell Rd & FS Central Av,33.640092,-112.073938,170,19,stop_id,,0,0,,,unknown
1140,10989,Buckeye Rd & 7th Av,EB Buckeye Rd & FS 7th Av,33.4367790000001,-112.08192,13,23,stop_id,,0,0,,,unknown
1141,15399,Buckeye Rd & 22nd Av,EB Buckeye Rd & NS 22nd Av,33.4366820000001,-112.107174,13,4,stop_id,,0,0,,,unknown
1142,10991,Buckeye Rd & Central Av,EB Buckeye Rd & FS Central Av,33.4367360000001,-112.073209,13,23,stop_id,,0,0,,,unknown
1143,10984,Buckeye Rd & 21st Av,EB Buckeye Rd & FS 21st Av,33.4366680000001,-112.10393,13,2,stop_id,,0,0,,,unknown
1144,10988,Buckeye Rd & 10th Av,EB Buckeye Rd & NS 10th Av,33.436678,-112.086449,13,8,stop_id,,0,0,,,unknown
1145,16045,Cactus Rd & 37th Av,EB Cactus Rd & FS 37th Av,33.596279,-112.137798,122,10,stop_id,,0,0,,,unknown
1146,16041,Cactus Rd & 44th Dr,EB Cactus Rd & FS 44th Dr,33.5962290000001,-112.153868,122,1,stop_id,,0,0,,,unknown
1147,16052,Cactus Rd & 21st Av,EB Cactus Rd & FS 21st Av,33.5964050000001,-112.103521,122,4,stop_id,1,0,0,,,unknown
1148,16051,Cactus Rd & 23rd Av,EB Cactus Rd & FS 23rd Av,33.5963150000001,-112.107404,122,2,stop_id,,0,0,,,unknown
1149,16049,Cactus Rd & 28th Dr,EB Cactus Rd & FS 28th Dr,33.5962710000001,-112.119652,122,58,stop_id,,0,0,,,unknown
115,16621,Bell Rd & Tatum Bl,EB Bell Rd & FS Tatum Bl,33.6403960000001,-111.977078,170,40,stop_id,,0,0,,,unknown
1150,10281,Cactus Rd & 31st Av,EB Cactus Rd & FS 31st Av,33.596302,-112.124971,122,9,stop_id,,0,0,,,unknown
1151,16047,Cactus Rd & 33rd Av,EB Cactus Rd & FS 33rd Av,33.5962960000001,-112.128957,122,2,stop_id,,0,0,,,unknown
1152,16046,Cactus Rd & 35th Av,EB Cactus Rd & FS 35th Av,33.596234,-112.133351,122,25,stop_id,,0,0,,,unknown
1153,16044,Cactus Rd & 39th Av,EB Cactus Rd & FS 39th Av,33.596255,-112.14219,122,10,stop_id,,0,0,,,unknown
1154,16043,Cactus Rd & 41st Av,EB Cactus Rd & FS 41st Av,33.596258,-112.146393,122,0,stop_id,,0,0,,,unknown
1155,18470,Deer Valley Rd & 3rd Av,WB Deer Valley Rd & FS 3rd Av,33.683887,-112.078276,7,0,stop_id,,0,0,,,unknown
1156,16042,Cactus Rd & 43rd Av,EB Cactus Rd & FS 43rd Av,33.5962240000001,-112.150551,122,38,stop_id,,0,0,,,unknown
1157,16040,Cactus Rd & 45th Ln,EB Cactus Rd & FS 45th Ln,33.5962250000001,-112.156628,122,2,stop_id,,0,0,,,unknown
1158,16039,Cactus Rd & 47th Av,EB Cactus Rd & FS 47th Av,33.596216,-112.159412,122,2,stop_id,,0,0,,,unknown
1159,16038,Cactus Rd & 49th Av,EB Cactus Rd & FS 49th Av,33.596234,-112.16379,122,2,stop_id,1,0,0,,,unknown
116,16467,Bell Rd & 7077 East,EB Bell Rd & AT 7077 East,33.6387060000001,-111.928737,170,0,stop_id,,0,0,,,unknown
1160,16037,Cactus Rd & 51st Av,EB Cactus Rd & FS 51st Av,33.5962030000001,-112.167987,122,25,stop_id,,0,0,,,unknown
